1,Kryniczno,Sroda Śląska,średzki,51.12611111 N,16.62722222 E,79-25	
2,Wrocławice,Milicz,milicki,51.56222222 N,17.50527778 E,70-33
3,Korzeńsko,Żmigród,trzebnicki,51.54722222 N,16.84805556 E,70-27
